# Functional groups: one named SMARTS per group, read by `chython.reactions._tables`.
# A map number is scoped to its own row: `:3` in two rows of one family need not be the same atom.
#
# `M` LATER IN AN ATOM BODY IS THE DELETION MASK, which is what makes the `lactam_<1-6>_halide` rows
# below possible: an atom named purely as ring context is matched, is not numbered, and is still not
# consumed.  `M` as the FIRST primitive is the metal wildcard -- one letter, two readings, both in
# `docs/substructure.rst`.
#
# COLUMNS
#   name         the chemist's shorthand.  `mol.functional_groups()` reports under it and a
#                `reactions.tsv` slot resolves by it, so it is an API name: do not rename one.
#   smarts       chython SMARTS.  See NUMBERING and DIALECT below.
#   example      a public compound this row MUST match, written AROMATIZED -- a pattern saying
#                `[C;a]:[C;a]` does not match a ring spelled `C1=CC=C...`.
#   decoys       comma-joined SMILES this row must NOT match.  Where a pattern was widened once and
#                went too far, the thing it wrongly caught lives here.  May be empty.
#
# The `example`/`decoys` pair is an acceptance test and not a comment: `test/test_functional.py` runs
# every row against both.  A row with a pattern that can never match is otherwise invisible.
#
# NUMBERING, WHICH THE REACTION TABLES DEPEND ON.  Atoms are numbered LEFT TO RIGHT in the string
# starting at 1, and AN ATOM THE REACTION CONSUMES IS LEFT UNNUMBERED.  A product side deletes by
# absence, so an unnumbered reactant atom -- a halide leaving group, the OH of an acid, the boron of a
# boronic acid -- is gone from every product without any template saying so.  No number is read specially,
# and the renumbering is what keeps a group's numbers inside one slot's stride of 100.
#
# Numbering does NOT affect `mol.functional_groups()`, which matches the whole pattern either way.  It
# decides what a reaction row built on the group can keep, so a row's leaving-group choice is a chemical
# claim and not a spelling.  Numbering an atom is the general choice and leaving it unnumbered the specific
# one: a template that wants an atom gone omits it from its OWN product side, whereas an unnumbered atom is
# gone from every template, including the ones not written yet.
#
# ADDING AN ATOM TO A ROW renumbers nothing as long as it goes on the end -- the reaction rows reference
# `:1`, `:2`, `:101` and so on, and a new highest number is invisible to them -- but it is NOT invisible
# to what they delete.  A product side keeps by restating, so the new atom is matched, unstated and
# therefore deleted by every row using this group.  Numbering `tertiary_amine`'s three substituents makes
# `nitrogen_oxidation` on trimethylamine yield `[NH3+][O-]` instead of the N-oxide unless that row's
# product side restates them; `test_tables.py` refuses a silent one.  Inserting a number in the MIDDLE
# changes what every reaction using the group builds, so do not.
#
# DIALECT.  `smarts` is chython SMARTS, not Daylight: an absent bond matches single ONLY, so an aromatic
# bond has to be written `:`, and `z` is 1-6 with `z3` meaning sp AND NOTHING ELSE (chython 2's `z3`
# saturated and also caught sulfones, nitro groups and allenes -- every ported row had to be re-read for
# it).  A sulfone/sulfonyl/nitro centre is `z5`, but a row already writing both `=[O]` out has stated
# that, so the rows below do not repeat it.  `x` counts heteroatom neighbours, and B, S, Si, Sn and Mg
# all count -- a CF3 carbon bonded to sulfur is `x4`, not `x3`.
id	name	smarts	example	decoys	description
128	redox_active_ester	[C;z1:1]-[C;z2;x2;D3:2](=[O:3])-[O;D2;x1]-[N;D3;x1;r5](-[C;z2;r5]=[O])-[C;z2;r5]=[O]	CCC(=O)ON1C(=O)CCC1=O	CCC(=O)OC	NHPI/NHS ester; decarboxylative coupling transfers the alkyl
129	aryl_thiol	[S;x0;D1;z1:1]-[C;a:2]	Sc1ccccc1	CCS	Ar-SH
130	disulfide	[S;D2;z1:1]-[S;D2;z1:2]	CSSC	CSC	R-S-S-R
131	thioester	[O;z2;x0:1]=[C;D3;x2;z2:2]-[S;D2;z1;x0]	CC(=O)SC	CC(=O)OC	R-CO-S-R', the Liebeskind-Srogl electrophile
132	azinone	[O;z2;x0:1]=[C;z2;x2;D3;r6:2](-[C,N;z2,z4;r6:3])-[N;z1;D2;r6:4]	O=C1C=Cc2ccccc2N1	O=C1CCCCN1	aromatizable cyclic amide; the sp2/aromatic flank excludes a saturated lactam
133	chloroazine	[Cl;D1]-[C;a:1]:[N;a;D2:2]	Clc1ccccn1	Clc1ccccc1,Clc1cccnc1	Cl on an aromatic carbon next to a ring N; hydrolyses to the azinone
134	pyrrole	[N;h1;D2;a;r5:1]	c1cc[nH]c1	c1ccncc1,C1CCNC1	azole N-H; the H stays out of a template for tautomerism
135	pyrazole	[N;h1;D2;a;r5:1]:[N;h0;D2;r5:2]	c1cc[nH]n1	c1cc[nH]c1,c1c[nH]cn1	adjacent N-H/N pair
136	imidazole	[N;h1;D2;a;r5:1]:[A:2]:[N;h0;D2;r5:3]	c1c[nH]cn1	c1cc[nH]n1	N-H and N separated by one ring atom
137	isoxazole	[O;a;D2;r5:1]:[N;a;D2;r5:2]	c1ccno1	c1cc[nH]n1	adjacent aromatic O/N pair
138	pyridazine	[N;a;D2;r6:1]:[N;a;D2;r6:2]	c1ccnnc1	c1ccncc1	adjacent aromatic N pair in a 6-ring
139	alkyl_hydrazine	[N;D1;z1;x1:1]-[N;D2;z1;x1:2]-[C;z1:3]	CCNN	NNc1ccccc1	R-NH-NH2 on sp3 carbon
140	aryl_hydrazine	[N;D1;z1;x1:1]-[N;D2;z1;x1:2]-[C;a:3]	NNc1ccccc1	CCNN	Ar-NH-NH2, no constraint on the ring beyond the attachment carbon
141	aryl_hydrazine_ortho_ch	[N;D1;z1;x1:1]-[N;D2;z1;x1:2]-[C;a:3]:[C;a;D2:4]	NNc1ccccc1	NNc1c(C)cccc1C	Ar-NH-NH2 with a free ortho CH, which an indolization consumes
142	hydrazone	[C;z2:1]=[N;D2;z2;x1:2]-[N;D2;z1;x1:3]	CC(C)=NNc1ccccc1	CC(C)=NO	C=N-NH-R
143	sulfonylhydrazone	[C;z2:1]=[N;D2;z2;x1:2]-[N;D2;z1;x2:3]-[S;D4;x3](=[O])=[O]	CC(C)=NNS(=O)(=O)c1ccccc1	CC(C)=NNc1ccccc1	tosylhydrazone and kin, the Bamford-Stevens diazo precursor
144	sulfonylhydrazide	[N;D1;z1;x1:1]-[N;D2;z1;x2:2]-[S;D4;x3:3](=[O:4])=[O:5]	NNS(=O)(=O)c1ccccc1	CCNN	R-SO2-NH-NH2, the reagent that makes the above
145	thioamide	[S;z2;x0;D1:1]=[C;D2,D3;x2:2]-[N;D1:3]	NC=S	CC(N)=O,NC(=S)N	R-CS-NH2, the Hantzsch thiazole partner.  `D2,D3` as in `primary_amide`
146	o_diaminoarene	[N;D1;z1;x0:1]-[C;a:2]:[C;a:3]-[N;D1,D2;z1;x0:4]	Nc1ccccc1N	Nc1ccc(N)cc1	ortho-phenylenediamine
147	o_aminophenol	[N;D1;z1;x0:1]-[C;a:2]:[C;a:3]-[O;D1:4]	Nc1ccccc1O	Nc1ccc(O)cc1	2-aminophenol
148	o_aminothiophenol	[N;D1;z1;x0:1]-[C;a:2]:[C;a:3]-[S;D1:4]	Nc1ccccc1S	Nc1ccc(S)cc1	2-aminothiophenol
149	o_aminobenzaldehyde	[N;D1;z1;x0:1]-[C;a:2]:[C;a:3]-[C;D2;z2;x1:4]=[O:5]	Nc1ccccc1C=O	Nc1ccc(C=O)cc1	2-aminobenzaldehyde, the Friedlander partner
150	anthranilic_acid	[N;D1;z1;x0:1]-[C;a:2]:[C;a:3]-[C;z2;x2;D3:4](=[O:5])-[O;D1]	Nc1ccccc1C(=O)O	Nc1ccc(C(=O)O)cc1	2-aminobenzoic acid
151	amidoxime	[N;D1;z2;x0:1]=[C;D3;x2:2]-[N;D2;z1;x1:3]-[O;D1:4]	CC(=N)NO	CC(N)=N	RC(=NH)NHOH, the 1,2,4-oxadiazole precursor
152	amidine	[N;D1;z1;x0:1]-[C;D3;z2;x2:2]=[N;D1:3]	NC(C)=N	CC(=N)NO	RC(=NH)NH2, the pyrimidine partner
153	urea	[N;z1:1]-[C;D3;z2;x3:2](=[O:3])-[N;z1:4]	NC(N)=O	NC(N)=S	R2N-CO-NR2
154	thiourea	[N;z1:1]-[C;D3;z2;x3:2](=[S;D1:3])-[N;z1:4]	NC(N)=S	NC(N)=O	R2N-CS-NR2
155	nh_urea	[N;z1;h1,h2;!R:1]-[C;D3;z2;x3:2](=[O:3])-[N;z1;h1,h2;!R:4]	NC(N)=O	CN(C)C(=O)N(C)C,O=C1NCCN1	acyclic urea with an N-H on both nitrogens, the Biginelli subset
156	nh_thiourea	[N;z1;h1,h2;!R:1]-[C;D3;z2;x3:2](=[S;D1:3])-[N;z1;h1,h2;!R:4]	NC(N)=S	CN(C)C(=S)N(C)C	the thiourea half of the same
157	beta_arylethylamine	[N;D1;z1;x0:1]-[C;z1:2]-[C;z1:3]-[C;a:4]:[C;a;D2:5]	NCCc1ccccc1	NCc1ccccc1	the Pictet-Spengler substrate
158	aminopyridine	[N;D1;z1;x0:1]-[C;a:2]:[N;a;h0;D2:3]	Nc1ccccn1	Nc1ccccc1,Nc1cccnc1	2-aminoazine, the GBB partner
159	amino_alcohol	[N;D1;z1;x0:1]-[C;z1:2]-[C;z1:3]-[O;D1:4]	NCCO	NCCCO	1,2-amino alcohol
160	hydroxamic_acid	[O;D1;z1;x1:1]-[N;D2;z1;x1:2]-[C;z2;x2:3]=[O:4]	CC(=O)NO	CC(=O)NC	R-CO-NH-OH
161	hydrazide	[N;D1;z1;x1:1]-[N;D2;z1;x1:2]-[C;z2;x2:3]=[O:4]	CC(=O)NN	CC(=O)NO	R-CO-NH-NH2
162	oxime	[O;D1;z1;x1:1]-[N;D2;z2;x1:2]=[C:3]	CC(C)=NO	CC(C)=NN	C=N-OH
163	O_alkylhydroxylamine	[N;D1;z1;x1:1]-[O;D2;z1;x1:2]-[C:3]	NOC	CON(C)C	R-O-NH2
164	NO_dialkylhydroxylamine	[N;D2;z1;x1;h1:1](-[C;z1:2])-[O;D2;z1;x1:3]-[C;z1:4]	CNOC	NOC,CON(C)C	R'-O-NH-R'', the Weinreb amine
165	tosyl_isocyanide	[C;-;D1:1]#[N;+;D2:2]-[C;D2,D3;z1;x2:3]-[S;D4;x2](=[O])=[O]	[C-]#[N+]CS(=O)(=O)c1ccc(C)cc1	[C-]#[N+]CC(=O)OC	TosMIC, the Van Leusen oxazole reagent
166	activated_isocyanide	[C;-;D1:1]#[N;+;D2:2]-[C;z1;h1,h2:3]	[C-]#[N+]CC(=O)OC	[C-]#[N+]c1ccccc1,[C-]#[N+]C(C)(C)C	isocyanide with an acidic alpha C-H; what activates it is left unstated
167	active_methylene	[C;z1;D2,D3;x0:1](-[C;z2,z3;x1,x2:2])-[C;z2,z3;x1,x2:3]	CCOC(=O)CC(=O)OCC	CCCCC	CH flanked by two EWGs, the Knoevenagel nucleophile
168	aniline_ortho_ch	[N;D1;z1;x0:1]-[C;a:2]:[C;a;D2:3]	Nc1ccccc1	Nc1c(C)cccc1C	Ar-NH2 with a free ortho CH
169	o_haloaniline	[N;D1;z1;x0:1]-[C;a:2]:[C;a:3]-[Cl,Br,I;D1]	Nc1ccccc1Br	Nc1ccc(Br)cc1	2-haloaniline, the Larock indole substrate
170	methyl_ester	[O;z2;x0:1]=[C;D3;x2;z2:2]-[O;D2;x0:3]-[C;D1]	CC(=O)OC	CC(=O)OCC	R-CO-OMe; distinct saponification and transesterification behaviour
171	terminal_epoxide	[O;D2;r3:1]1-[C;r3:2]-[C;r3;D2:3]-1	CC1CO1	CC1OC1C	epoxide oriented for opening: `:3` is the CH2 a nucleophile attacks
172	trifluoromethyl	[C;D4;z1;x3:1](-[F:2])(-[F:3])-[F:4]	FC(F)(F)c1ccccc1	FC(F)c1ccccc1	-CF3
173	difluoromethyl	[C;D3;z1;x2:1](-[F:2])-[F:3]	FC(F)c1ccccc1	FC(F)(F)c1ccccc1	-CHF2
174	catechol	[O;D1;z1;x0:1]-[C;a:2]:[C;a:3]-[O;D1;z1;x0:4]	Oc1ccccc1O	Oc1ccc(O)cc1	1,2-dihydroxyarene
175	vinyl_sulfone	[S;D4:1](=[O:2])(=[O:3])(-[O,N,C:4])-[C;z2:5]=[C:6]	C=CS(=O)(=O)c1ccccc1	CCS(=O)(=O)N	vinyl sulfone, sulfonamide or sulfonate -- a covalent warhead.  chython 2 wrote the third substituent `[O,N]` and so missed every true sulfone; widened here, which is why the `x3` it carried had to go
176	peroxide	[O;D2;z1:1]-[O;D2;z1:2]	CCOOCC	CCOCC	R-O-O-R
177	maleimide	[N;r5:1]1-[C;z2;r5:2](=[O:3])-[C;z2;r5:4]=[C;z2;r5:5]-[C;z2;r5:6]1=[O:7]	O=C1C=CC(=O)N1C	O=C1CCC(=O)N1C	maleimide, the thiol-conjugation warhead
178	fused_aromatic	[A;a;D3:1](:[A;a:2])(:[A;a:3]):[A;a:4]	c1ccc2ccccc2c1	c1ccccc1,Cc1ccccc1	a ring-fusion atom: three aromatic neighbours
179	polyarene	[A;a:1]:[A;a;D3:2](:[A;a:3]):[A;a:4]:[A;a;D3:5](:[A;a:6]):[A;a:7]	c1ccc2cc3ccccc3cc2c1	c1ccccc1,c1ccc2ccccc2c1	two fusion atoms one atom apart, as in a linear triarene
180	diaryl	[C,N;a:1]-;!@[C,N;a:2]	c1ccc(-c2ccccc2)cc1	c1ccc2ccccc2c1	two rings joined by an acyclic single bond
181	bridged_diaryl	[C,N;a:1]-;!@[C,O,N,S:2]-;!@[C,N;a:3]	c1ccc(Cc2ccccc2)cc1	c1ccc(-c2ccccc2)cc1	two rings joined through one bridging atom
182	enamine	[C;z2;D2,D3:1]=[C;z2;D2,D3:2]-[N;z1;D2,D3:3]	CC=CN(C)C	CCN(C)C	C=C-N, the hydrogenation and Stork substrate
183	enol_ether	[C;z2;D2,D3:1]=[C;z2;D2,D3:2]-[O;D2:3]	CC=COC	CCOC	C=C-O-R
# --- ethers and acetals -------------------------------------------------------------------
184	dialkyl_ether	[O;D2;z1;x0:1]([C;z1:2])[C;z1:3]	COCCOC	CC(=O)OC,COc1ccccc1,C=COC,C[Si](C)(C)OC	R-O-R, both sp3.  `x0` and both carbons stated: the bare `[O;D2;z1]` is also every ester O, every anisole and every silyl ether
185	aryl_ether	[O;D2;z1;x0:1](-[C;a:2])[C;z1,a:3]	COc1ccccc1	COC,CC(=O)Oc1ccccc1	Ar-O-R and Ar-O-Ar.  Separate from `dialkyl_ether` because only this one is an SNAr and Ullmann product and a demethylation substrate
186	acetal	[O;D2;z1:1]-[C;z1;x2;h0,h1:2]-[O;D2;z1:3]	COC(C)OC	COC,CC(=O)OC,OCCO	R-O-CH(R)-O-R, the masked carbonyl.  `h0,h1` admits the ketal and excludes an orthoester
187	hemiketal	[O;D1;z1;x0;h1:1]-[C;z1;x2:2]-[O;D2;z1:3]	OC1(OC)CCCCC1	OCCOC,CCO	HO-C(-OR), the ring-opened sugar form
188	enol	[O;D1;z1;x0;h1:1]-[C;z2:2]=[C;z2:3]	OC1=CCCCC1	OCC=C,CCO,Oc1ccccc1	HO-C=C.  `z2` on both carbons, so a phenol -- aromatic, not `z2` -- is not one
189	silyl_ether	[Si;D4:1]-[O;D2;z1:2]-[C:3]	C[Si](C)(C)OCC	C[Si](C)(C)C,CCO,COC	R3Si-O-R, a protected alcohol.  `protective.tsv` removes the named ones; this reports any
# --- the carbonyl derivatives beside primary_amide/secondary_amide/ester ------------------
190	tertiary_amide	[N;D3;z1;x0:1]-[C;D2,D3;z2;x2:2]=[O;D1;z2;x0:3]	CN(C)C=O	CC(=O)NC,CC(=O)N,CN(C)C,O=C(OC(C)(C)C)N1CCCCC1,CN(C)C(=O)N(C)C,CN(C)S(=O)(=O)C	R-CO-NR2, the level `primary_amide` and `secondary_amide` left out.  `x0` on the nitrogen because an amide N's three neighbours are all CARBON; `x2` on the carbonyl is what excludes a carbamate and a urea, whose carbonyl is `x3`
191	carbamate	[N:1]-[C;D3;z2;x3:2](=[O;D1;z2;x0:3])-[O;D2;z1:4]-[C:5]	O=C(OC(C)(C)C)N1CCCCC1	CC(=O)OC,CC(=O)N(C)C,COC(=O)OC,NC(=O)N	N-CO-O-R, the Boc/Cbz/Fmoc backbone.  Reported wherever it occurs, unlike `protective.tsv`, which only names the ones it can cleave
192	cyclic_carbamate	[N;D2,D3;z1;r5,r6:1]-[C;D3;z2;x3;r5,r6:2](=[O;D1;z2:3])-[O;D2;z1;r5,r6:4]	O=C1OCCN1	O=C1CCCN1,O=C(OC)NC,O=C1OCCC1	The oxazolidinone/cyclic-carbamate ring, which is a scaffold rather than a protected amine
193	carbonate	[C:1]-[O;D2;z1:2]-[C;D3;z2;x3:3](=[O;D1;z2;x0:4])-[O;D2;z1:5]-[C:6]	COC(=O)OC	CC(=O)OC,O=C(OC(C)(C)C)NC	R-O-CO-O-R, both oxygens esterified
194	enone	[C;z2:1]=[C;z2:2]-[C;D3;z2;x1:3]=[O;D1;x0:4]	CC(=O)C=C	CC(=O)CC,CC(=O)C#C,O=Cc1ccccc1	C=C-C=O, the Michael acceptor.  The conjugation is the group: neither `ketone` nor `alkene` alone says a molecule is electrophilic at the beta carbon
195	acrylamide	[C;z2;D1:1]=[C;z2:2]-[C;D3;z2;x2:3](=[O;D1;x0:4])-[N:5]	NC(=O)C=C	CCC(=O)N,NC(=O)C=CC	H2C=CH-CO-N, the covalent-warhead acceptor.  `D1` on the terminal carbon: a beta-substituted acrylamide is a far weaker acceptor and is not this
196	acrylate_ester	[C;z2;D1:1]=[C;z2:2]-[C;D3;z2;x2:3](=[O;D1;x0:4])-[O;D2:5]	COC(=O)C=C	CCC(=O)OC	H2C=CH-CO-O-R, the polymerizable monomer.  `D1` as in `acrylamide`
# --- the sulfur oxyacids beyond mesylate/tosylate/triflate --------------------------------
197	sulfonate_ester	[C:1]-[O;D2;z1:2]-[S;D4:3](=[O;D1:4])=[O;D1:5]	CS(=O)(=O)OC	CS(=O)(=O)O,CS(=O)(=O)N,COC(=O)C	R-O-SO2-R, any sulfonate ester.  The named ones each have a row; this catches the rest
198	sulfamide	[N:1]-[S;D4;x4:2](=[O;D1:3])(=[O;D1:4])-[N:5]	CNS(=O)(=O)N(C)C	NS(=O)(=O)c1ccccc1,NS(=O)(=O)OC	N-SO2-N, nitrogen on both sides
199	sulfamate	[N:1]-[S;D4;x4:2](=[O;D1:3])(=[O;D1:4])-[O;D2:5]-[C:6]	NS(=O)(=O)OCC	NS(=O)(=O)N,NS(=O)(=O)c1ccccc1,CS(=O)(=O)OC	N-SO2-O-R
200	sulfoximine	[S;D4;z5:1](=[O;D1:2])(=[N:3])([C:4])[C:5]	CS(C)(=O)=N	CS(C)(=O)=O,CS(C)=O,CS(=O)(=O)N	R2S(=O)=N, the sulfone bioisostere.  A stereocentre at sulfur, which is why the substituents are numbered rather than left to a template
201	sulfinamide	[S;D3;z2:1](=[O;D1:2])(-[N:3])[C:4]	CS(=O)N(C)C	CS(=O)(=O)N(C)C,CS(C)=O	R-S(=O)-N, the Ellman auxiliary and the sulfoximine precursor
202	sulfinate_ester	[S;D3;z2:1](=[O;D1:2])(-[O;D2:3]-[C:4])[C:5]	CS(=O)OC	CS(=O)(=O)OC,CS(C)=O	R-S(=O)-O-R
# --- heteroaryl heteroatoms beyond `pyridine_n` -------------------------------------------
203	thiophene_s	[S;a;D2:1]	c1ccsc1	CSC,c1ccccc1,c1ccoc1	The aromatic divalent sulfur of a thiophene, thiazole or isothiazole
204	furan_o	[O;a;D2:1]	c1ccoc1	COC,c1ccsc1,C1CCOC1	The aromatic divalent oxygen of a furan, oxazole or isoxazole
205	n_substituted_azole	[N;a;D3:1]-[C;z1,a:2]	Cn1cccc1	c1cc[nH]c1,c1ccncc1	The substituted pyrrole-type nitrogen -- an N-alkylated or N-arylated azole, as distinct from the `nh_azole` that could still be alkylated
206	azine_n_oxide	[N;a;D3;+:1]-[O;D1;z1;-:2]	[O-][n+]1ccccc1	c1ccncc1,C[n+]1ccccc1,CN(C)C	The pyridine N-oxide, an activated ring for C-H functionalization.  The oxygen is NUMBERED: a deoxygenation omits it from its own product side, and leaving it unnumbered would delete it from every other template too
# --- fluorinated and hypervalent substituents ---------------------------------------------
207	trifluoromethoxy	[F:1][C;D4;z1;x4:2]([F:3])([F:4])-[O;D2:5]	FC(F)(F)Oc1ccccc1	FC(F)(F)c1ccccc1,FC(F)Oc1ccccc1,COc1ccccc1	OCF3.  `x4` on the carbon: three fluorines and the oxygen all count
208	difluoromethoxy	[F:1][C;D3;z1;x3:2]([F:3])-[O;D2:4]	FC(F)Oc1ccccc1	FC(F)(F)Oc1ccccc1,FC(F)c1ccccc1	OCHF2
209	pentafluorosulfanyl	[S;D6:1]([F:2])([F:3])([F:4])([F:5])-[C:6]	FS(F)(F)(F)(F)c1ccccc1	FC(F)(F)c1ccccc1,CS(=O)(=O)F	SF5, the CF3 replacement
# --- phosphorus beyond `phosphonate` ------------------------------------------------------
210	phosphate_ester	[C:1]-[O;D2:2]-[P;D4:3](=[O;D1:4])(-[O;D2:5])-[O;D2:6]	COP(=O)(OC)OC	CCOP(=O)(OCC)Cc1ccccc1,COP(C)C	R-O-PO(OR)(OR), three oxygens on phosphorus
211	phosphine_oxide	[P;D4:1](=[O;D1;x1:2])([C:3])([C:4])[C:5]	O=P(c1ccccc1)(c1ccccc1)c1ccccc1	COP(=O)(OC)OC,CP(C)C	R3P=O, the Wittig and Mitsunobu byproduct.  `x1` on the oxygen: its only neighbour is phosphorus, which is a heteroatom
212	phosphonic_acid	[O;D1;z1;h1:1]-[P;D4:2](=[O;D1:3])-[O;D1;z1;h1:4]	OP(O)(=O)c1ccccc1	COP(=O)(OC)OC,CS(=O)(=O)O	R-PO(OH)2
# --- nitrogen: the imines, hydrazines and hydroxylamines ----------------------------------
213	imine	[N;D2;z2;x0:1]=[C;z2:2]	CN=Cc1ccccc1	CN=C=NC,CC(=O)N,CC#N,CN=O,c1ccncc1	R-N=C, the reductive-amination intermediate and the aza-Michael acceptor.  `x0` excludes the oxime and the hydrazone, which have their own rows
214	imine_nh	[N;D1;z2;x0;h1:1]=[C;z2:2]	N=C1CCCCC1	CN=Cc1ccccc1,CC(=O)N,CC#N	HN=C, the free imine
215	hydrazine	[N;z1;x1:1]-[N;z1;x1:2]	CN(C)N	CNC,CON,c1ccncc1	N-N single bond, both sp3.  A hydrazide matches this too and `hydrazide` names it more precisely
216	n_hydroxylamine	[O;D1;z1;x1;h1:1]-[N;z1;x1:2]-[C;z1,a:3]	ON1CCCCC1	CON,CC(=O)NO,CC(C)=NO,CCO	HO-N with carbon on the nitrogen.  The carbon is stated to exclude the hydroxamic acid, whose nitrogen carries a carbonyl
217	carbodiimide	[N;D2;z2:1]=[C;D2;z5:2]=[N;D2;z2:3]	CN=C=NC	CN=C=O,CN=C=S	N=C=N, the DCC/EDC coupling reagent.  `z5` is the cumulated-double centre; chython 2 wrote `z3` here and V3's `z3` is sp and nothing else
# --- thiocarbonyls beyond thioamide/thiourea ----------------------------------------------
218	thione	[S;D1;z2;x0:1]=[C;D3;z2;x1:2]	S=C1CCCCC1	CC(N)=S,CC(C)=O,S=C=S	C=S with one heteroatom on the carbon, the thioketone
219	thiocarbamate	[N:1]-[C;D3;z2:2](=[S;D1;x0:3])-[O;D2:4]	CNC(=S)OC	CC(N)=S,O=C(OC)NC,CCOC(=S)S	N-C(=S)-O-R, the Newman-Kwart substrate
220	xanthate	[S;D1,D2:1]-[C;D3;z2:2](=[S;D1;x0:3])-[O;D2:4]	CCOC(=S)S	CNC(=S)OC,CC(N)=S	S-C(=S)-O-R, the RAFT agent.  `D1,D2` because the second sulfur is a free thiol as often as it is substituted
221	thiocyanate	[N;D1;z3:1]#[C;D2;z3:2]-[S;D2:3]	CSC#N	CN=C=S,CC#N	R-S-C#N, which is not the isothiocyanate `S=C=N-R`
# --- halides the `x1` and `D1` on the existing rows exclude -------------------------------
222	benzyl_halide	[Cl,Br,I;D1:1]-[C;z1;x1;h1,h2:2]-[C;a:3]	ClCc1ccccc1	Cc1ccccc1,ClCCc1ccccc1	Ar-CH2-X.  `alkyl_halide` already matches it; this says the SN2 is a benzylic one, which is a different rate and a different selectivity
223	allyl_halide	[Cl,Br,I;D1:1]-[C;z1;x1:2]-[C;z2:3]=[C;z2:4]	BrCC=C	BrCCC=C,ClCc1ccccc1	X-C-C=C, the allylic SN2/SN2' substrate
224	gem_dihalide	[Cl,Br,I;D1:1]-[C;z1:2]-[Cl,Br,I;D1:3]	ClCCl	ClCC,ClCCCl,FC(F)(F)c1ccccc1	Two halides on one carbon.  Fluorine is excluded because a gem-difluoride is `difluoromethyl` and not an alkylating agent
225	alpha_heteroatom_halide	[Cl,Br,I;D1:1]-[C;z1;h1,h2:2]-[N,O,S;z1:3]	ClCOC	ClCC,ClCC(=O)OC,ClCc1ccccc1	X-C-Het, the MOM-chloride class: an alkylating agent far more reactive than `alkyl_halide` says
226	trihalomethyl	[Cl,Br,I;D1:1]-[C;D4;z1:2](-[Cl,Br,I;D1:3])-[Cl,Br,I;D1:4]	ClC(Cl)(Cl)c1ccccc1	ClCCl,FC(F)(F)c1ccccc1	CX3 for X other than fluorine
227	n_halo_imide	[Cl,Br,I;D1:1]-[N;D3:2]	ClN1C(=O)CCC1=O	ClCC,CN(C)C	N-X, the NBS/NCS halogen source
228	phosphorus_halide	[F,Cl,Br,I;D1:1]-[P:2]	ClP(Cl)Cl	ClCC,COP(=O)(OC)OC	P-X
229	chlorosilane	[F,Cl,Br,I;D1:1]-[Si;D4:2]	C[Si](C)(C)Cl	C[Si](C)(C)C,ClCC	Si-X, the silylating agent
# --- salt forms.  UNSTATED CHARGE MEANS CHARGE ZERO, so no neutral row can reach one ------
230	carboxylate	[O;D1;z1;x0;-:1]-[C;D3;z2:2]=[O;D1;z2;x0:3]	CC(=O)[O-].[Na+]	CC(=O)O,CS(=O)(=O)[O-],[O-]c1ccccc1	The deprotonated acid.  `carboxylic_acid` cannot match it, its own oxygen being neutral by omission, so a registration salt reports no acid at all without this row
231	sulfonate	[O;D1;z1;-:1]-[S;D4:2](=[O;D1:3])=[O;D1:4]	CS(=O)(=O)[O-].[Na+]	CS(=O)(=O)O,CS(=O)(=O)OC	The deprotonated sulfonic acid
232	alkoxide	[O;D1;z1;x0;-:1]-[C;z1:2]	CC[O-].[Na+]	CCO,CC(=O)[O-],[O-]c1ccccc1	RO-
233	phenoxide	[O;D1;z1;x0;-:1]-[C;a:2]	[O-]c1ccccc1.[Na+]	Oc1ccccc1,CC[O-]	ArO-
234	thiolate	[S;D1;z1;x0;-:1]-[C:2]	CC[S-].[Na+]	CCS	RS-
235	ammonium	[N;z1;x0;+;h1,h2,h3:1]	CC[NH3+].[Cl-]	CCN,CCCC[N+](CCCC)(CCCC)CCCC	The protonated amine.  `h1,h2,h3` is what distinguishes it from a quaternary salt
236	quaternary_ammonium	[N;D4;z1;x0;+;h0:1]	CCCC[N+](CCCC)(CCCC)CCCC	CC[NH3+],CCN	R4N+, a phase-transfer catalyst rather than a protonation state
# --- strained rings, where ring size is the reactivity ------------------------------------
237	oxetane	[O;D2;z1;r4:1]([C;z1;r4:2])[C;z1;r4:3]	C1COC1	C1CO1,C1CCOC1	The four-membered ether, a carbonyl bioisostere and a slow electrophile
238	azetidine	[N;D2;z1;x0;r4;h1:1]([C;z1;r4:2])[C;z1;r4:3]	C1CNC1	C1CN1,C1CCNC1,O=C1CCN1,CN1CCC1	The four-membered NH amine
239	beta_lactam	[N;D2,D3;z1;r4:1]-[C;D3;z2;r4:2]=[O;D1;x0:3]	O=C1CC2N1CCS2	O=C1CCCN1,CC(=O)N,C1CNC1	The four-membered lactam.  `D2,D3` because a fused penicillin or cephalosporin nitrogen is D3 and `D2` alone reaches only the monocyclic model compound
# --- and two spellings that only a charge or a metal distinguishes ------------------------
240	acyl_azide	[N;D1;z2;-:1]=[N;D2;+:2]=[N;D2;z2:3]-[C;D3;z2:4]=[O;D1;x0:5]	O=C(c1ccccc1)N=[N+]=[N-]	CCN=[N+]=[N-]	R-CO-N3, the Curtius substrate, as distinct from the alkyl azide
