# Protecting groups: what to look for, and what the molecule looks like once it is gone.
#
# EVERY ROW IS A SMIRKS ROW, and there is no separate list of atoms to keep or to add: `read_smirks`
# deletes a reactant atom whose map number the product side does not mention, and builds a product atom
# written without a map number.  So a deprotection goes through exactly the code path a reaction goes
# through, and the two cannot disagree about what a pattern means.
#
# COLUMNS
#   name        the chemist's shorthand, `<what it protects>_<the group>`.  `deprotect()` selects by it.
#   protects    hydroxyl | diol | amine | thiol | carbonyl | carboxyl, comma-joined when a row reveals
#               two things at once.  Checked against the kept atoms' elements by test_protective.py, so
#               it is a claim the table verifies rather than a label.
#   smarts      the reactant side: the protected group, with `:1` on the atom being unmasked (and
#               `:2`.. on the others a multi-atom keep needs).
#   product     the patch.  Usually `[A:1]` -- keep that one atom, delete everything else.  A row that
#               keeps several atoms must RESTATE EVERY BOND BETWEEN THEM: a reactant bond whose two
#               endpoints both survive is deleted unless the product side says it again, so `[A:1][A:2]`
#               on a four-atom keep hands back fragments.
#   protected   a worked example this row must match.
#   cleaved     what it must turn `protected` into.  The pair is an acceptance test, not a comment.
#   decoys      SMILES this row must NOT match, comma-joined.  Where a pattern was widened once and
#               went too far, the thing it wrongly caught lives here.
#
# THE EXAMPLES ARE WRITTEN AROMATIZED AND STANDARDIZED, because the queries are: a pattern saying
# `[C;a]:[C;a]` does not match a ring spelled `C1=CC=C...`, and one saying `[N+](=O)[O-]` does not match a
# neutral nitro.  The same fact stated forwards for a caller: `deprotect()` sees an aromatic protecting
# group only after `thiele()` has run, because that is when the molecule acquires the aromatic bonds the
# query asks for.
#
# ORDER IN THIS FILE DOES NOT MATTER.  The loader sorts by reactant atom count descending, so the more
# specific pattern always gets the site first -- `hydroxyl_tbu` matches the tert-butyl half of a Boc and
# would strip it to a carbonate if it got there first -- and a row may be added anywhere.  Two rows of
# equal size fall back to this order.
#
id	name	protects	smarts	product	protected	cleaved	decoys	description
67	amine_fmoc	amine	[N;D2,D3:1]-;!@[C;z2;x3](=O)[O;D2;x0]-[C;D2;x1;z1][C;D3;z1;x0;r5]1[C;a;r6]:2:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D3]:2-[C;a;r6]:3:[C;D2]:[C;D2]:[C;D2]:[C;D2]:C1:3	[A:1]	c1-2c(C(c3ccccc-23)COC(=O)Nc2ccccc2)cccc1	c1c(N)cccc1		9-fluorenylmethyloxycarbonyl, revealing an amine
68	amine_pbf	amine	[N;D2,D3:1]-;!@[S;D4;x3](=O)(=O)-[C;a;r6]:1:[C;D3;x0]([C;D1]):[C;D3;x0]([C;D1]):[C;D3;x1]:2-[O;D2;x0;r5][C;D4;x1]([C;D1])([C;D1])[C;D2;x0;z1][C;D3]:2:[C;D3;x0]([C;D1]):1	[A:1]	Cc1c2OC(Cc2c(C)c(c1C)S(=O)(N(C)C)=O)(C)C	CNC		2,2,4,6,7-pentamethyldihydrobenzofuran-5-sulfonyl, revealing an amine
69	amine_mtr	amine	[N;D2,D3:1]-;!@[S;D4;x3](=O)(=O)-[C;a;r6]:1:[C;D3;x0]([C;D1]):[C;D3;x0]([C;D1]):[C;D3;x1](-;!@[O;D2;x0][C;D1]):[C;D2]:[C;D3;x0]([C;D1]):1	[A:1]	CN(S(c1c(C)cc(OC)c(c1C)C)(=O)=O)C	CNC		4-methoxy-2,3,6-trimethylbenzenesulfonyl, revealing an amine
70	amine_dde_enamine	amine	[N;D2,D3:1]-;!@[C;z2;x1;D3]([C;D1])=[C;D3;r6;x0;z2]1[C;x1;z2;D3](=O)[C;D2][C;D4;x0;z1]([C;D1])([C;D1])[C;D2][C;D3;x1;z2]1=O	[A:1]	O=C1CC(C)(CC(=O)C1=C(NC(C)C)C)C	C(C)(N)C		Dde, as the enamine tautomer, revealing an amine
71	amine_dde_imine	amine	[N;D2:1]=;!@[C;x1;D3]([C;D1])-[C;D3;r6;x0;z1]1[C;x1;z2;D3](=O)[C;D2][C;D4;x0;z1]([C;D1])([C;D1])[C;D2][C;D3;x1;z2]1=O	[A:1]	C1(=O)CC(C)(CC(=O)C1C(C)=NC(C)C)C	C(C)(N)C		Dde, as the imine tautomer, revealing an amine
72	amine_ivdde_enamine	amine	[N;D2,D3:1]-;!@[C;z2;x1;D3]([C;D2;x0;z1][C;D3;x0;z1]([C;D1])[C;D1])=[C;D3;r6;x0;z2]1[C;x1;z2;D3](=O)[C;D2][C;D4;x0;z1]([C;D1])([C;D1])[C;D2][C;D3;x1;z2]1=O	[A:1]	C1(CC(CC(C1=C(CC(C)C)NC(C)C)=O)(C)C)=O	C(C)(N)C		ivDde, as the enamine tautomer, revealing an amine
73	amine_ivdde_imine	amine	[N;D2:1]=;!@[C;x1;D3]([C;D2;x0;z1][C;D3;x0;z1]([C;D1])[C;D1])-[C;D3;r6;x0;z1]1[C;x1;z2;D3](=O)[C;D2][C;D4;x0;z1]([C;D1])([C;D1])[C;D2][C;D3;x1;z2]1=O	[A:1]	CC(CC(C1C(=O)CC(CC1=O)(C)C)=NC(C)C)C	C(C)(N)C		ivDde, as the imine tautomer, revealing an amine
74	amine_phth	amine	[N;D3:1]1[C;z2;x2;D3](=O)[C;a;r6]:2:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D3]:2[C;z2;x2;D3]1=O	[A:1]	O=C1N(Cc2ccccc2)C(=O)c2ccccc21	c1cc(CN)ccc1		phthalimide, revealing an amine
75	amine_benzyl	amine	[N;D2,D3:1]-;!@[C;D2;z1;x1]-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[A:1]	c1(ccccc1)CNC(C)C	C(C)(N)C		benzyl, revealing an amine
76	amine_methoxy_benzyl	amine	[N;D2,D3:1]-;!@[C;D2;z1;x1]-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D3;x1]([O;D2;x0][C;D1]):[C;D2]:[C;D2]:1	[A:1]	c1(CNC(C)C)ccc(cc1)OC	C(C)(N)C		4-methoxybenzyl (PMB), revealing an amine
77	amine_dimethoxybenzyl	amine	[N;D2,D3:1]-;!@[C;D2;z1;x1]-[C;a;r6]:1:[C;D3;x1]([O;D2;x0][C;D1]):[C;D2]:[C;D3;x1]([O;D2;x0][C;D1]):[C;D2]:[C;D2]:1	[A:1]	COc1c(CNC(C)C)ccc(OC)c1	C(C)(N)C		2,4-dimethoxybenzyl (DMB), revealing an amine
78	amine_mtt	amine	[N;D2,D3:1]-;!@[C;D4;z1;x1](-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D3;x0]([C;D1]):[C;D2]:[C;D2]:1)(-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[A:1]	c1ccc(cc1)C(c1ccc(cc1)C)(c1ccccc1)NC(C)C	C(C)(N)C		4-methyltrityl (Mtt), revealing an amine
79	amine_bhoc	amine	[N;D2,D3:1]-;!@[C;z2;x3](=O)[O;D2;x0]-[C;D3;z1;x1](-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[A:1]	N(C(OC(c1ccccc1)c1ccccc1)=O)C	CN		benzhydryloxycarbonyl, revealing an amine
80	amine_tritil	amine	[N;D2,D3:1]-;!@[C;D4;z1;x1](-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)(-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[A:1]	c1ccccc1C(NC(C)C)(c1ccccc1)c1ccccc1	C(C)(N)C		triphenylmethyl (trityl), revealing an amine
81	amine_chloro_tritil	amine	[N;D2,D3:1]-;!@[C;D4;z1;x1](-[C;a;r6]:1:[C;D3;x1]([Cl;D1]):[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)(-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[A:1]	C(C)(NC(c1ccccc1)(c1ccccc1Cl)c1ccccc1)C	C(C)(N)C		2-chlorotrityl, revealing an amine
82	amine_thp	amine	[N;D2,D3:1]-;!@[C;D3;x2;z1;r6]1[O;D2][C;D2][C;D2][C;D2][C;D2]1	[A:1]	C1OC(n2nccc2)CCC1	n1[nH]ccc1		tetrahydropyranyl, revealing an amine
83	amine_sulfinyl	amine	[N;D2,D3:1]-;!@[S;D3;x2;z2](=O)[C;D4;x1;z1]([C;D1])([C;D1])[C;D1]	[A:1]	c1ccc(cc1)NS(=O)C(C)(C)C	c1c(N)cccc1		tert-butanesulfinyl, revealing an amine
84	amine_acyl	amine	[N;D2,D3:1]-;!@[C;z2;x2](=O)-[C;D1]	[A:1]	c1ccc(NC(=O)C)cc1	c1c(N)cccc1		acetyl, revealing an amine
85	amine_benzhydrylidene	amine	[N;D2:1]=;!@[C;D3;z2;x1](-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)-[C;a;r6]:2:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:2	[A:1]	c1cc(ccc1)N=C(c1ccccc1)c1ccccc1	c1c(N)cccc1		benzhydrylidene (benzophenone imine), revealing an amine
86	amine_tbu	amine	[N;D2,D3:1]-;!@[C;D4;x1;z1]([C;D1])([C;D1])[C;D1]	[A:1]	c1cccc(NC(C)(C)C)c1	c1c(N)cccc1		tert-butyl, revealing an amine
87	amine_benzoate	amine	[N;D2,D3:1]-;!@[C;z2;x2](=O)-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[A:1]	c1cccc(NC(c2ccccc2)=O)c1	c1c(N)cccc1		benzoyl, revealing an amine
88	thiol_tritil	thiol	[S;D2;x0;z1:1]-;!@[C;D4;z1;x1](-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)(-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[A:1]	c1ccccc1C(SC(C)C)(c1ccccc1)c1ccccc1	C(C)(S)C		triphenylmethyl (trityl), revealing a thiol
89	thiol_mmt	thiol	[S;D2;x0;z1:1]-;!@[C;D4;z1;x1](-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D3;x1]([O;D2;x0][C;D1]):[C;D2]:[C;D2]:1)(-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[A:1]	c1ccccc1C(c1ccccc1)(SC(C)C)c1ccc(cc1)OC	C(C)(S)C		4-methoxytrityl (MMT), revealing a thiol
90	thiol_dimetoxy_tritil	thiol	[S;D2;x0;z1:1]-;!@[C;D4;z1;x1](-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D3;x1]([O;D2;x0][C;D1]):[C;D2]:[C;D2]:1)(-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D3;x1]([O;D2;x0][C;D1]):[C;D2]:[C;D2]:1)-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[A:1]	c1cc(ccc1OC)C(c1ccc(cc1)OC)(SC(C)C)c1ccccc1	C(C)(S)C		4,4′-dimethoxytrityl (DMT), revealing a thiol
91	thiol_chloro_tritil	thiol	[S;D2;x0;z1:1]-;!@[C;D4;z1;x1](-[C;a;r6]:1:[C;D3;x1]([Cl;D1]):[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)(-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[A:1]	C(C)(SC(c1ccccc1)(c1ccccc1Cl)c1ccccc1)C	C(C)(S)C		2-chlorotrityl, revealing a thiol
92	thiol_benzyl	thiol	[S;D2;x0;z1:1]-;!@[C;D2;z1;x1]-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[A:1]	c1(ccccc1)CSC(C)C	C(C)(S)C		benzyl, revealing a thiol
93	thiol_tbu	thiol	[S;D2;x0;z1:1]-;!@[C;D4;x1;z1]([C;D1])([C;D1])[C;D1]	[A:1]	C(SC(C)C)(C)(C)C	C(C)(S)C		tert-butyl, revealing a thiol
94	thiol_stbu	thiol	[S;D2;x1;z1:1]-;!@[S;D2;z1;x1]-[C;D4;x1;z1]([C;D1])([C;D1])[C;D1]	[A:1]	S(C(C)(C)C)SC(C)C	C(C)(S)C		tert-butyl disulfide, revealing a thiol
95	thiol_strimethoxyphenyl	thiol	[S;D2;x1;z1:1]-;!@[S;D2;z1;x1]-[C;a;r6]:1:[C;D3;x1]([O;D2;x0][C;D1]):[C;D2]:[C;D3;x1]([O;D2;x0][C;D1]):[C;D2]:[C;D3;x1]:1[O;D2;x0][C;D1]	[A:1]	O(c1c(SSC(C)C)c(OC)cc(OC)c1)C	C(C)(S)C		2,4,6-trimethoxyphenyl disulfide, revealing a thiol
96	thiol_amine_dimethoxybenzyl	thiol,amine	[S;D2;r5;x0;z1:1]1[C:3][C:4][N;z1:2]-[C;D3;x2;z1]1-[C;a;r6]:1:[C;D3;x1]([O;D2;x0][C;D1]):[C;D2]:[C;D3;x1]([O;D2;x0][C;D1]):[C;D2]:[C;D2]:1	[A:1][A:3][A:4][A:2]	O(c1cc(ccc1C1SCC(C)N1)OC)C	C(CS)(C)N		2,4-dimethoxybenzylidene across the aminothiol, revealing an aminothiol
97	hydroxyl_boc	hydroxyl	[O;D2:1]-;!@[C;z2;x3](=O)[O;D2;x0]-[C;D4;x1;z1]([C;D1])([C;D1])[C;D1]	[A:1]	C(OC(OC(C)C)=O)(C)(C)C	C(C)(O)C		tert-butoxycarbonyl, revealing an alcohol
98	hydroxyl_tbu	hydroxyl	[O;D2:1]-;!@[C;D4;x1;z1]([C;D1])([C;D1])[C;D1]	[A:1]	C(OC(C)C)(C)(C)C	C(C)(O)C		tert-butyl, revealing an alcohol
99	hydroxyl_allyl	hydroxyl	[O;D2:1]-;!@[C;D2;z1;x1][C;D2;x0;z2]=[C;D1]	[A:1]	C(COC(C)C)=C	C(C)(O)C		allyl, revealing an alcohol
100	hydroxyl_benzyl	hydroxyl	[O;D2:1]-;!@[C;D2;z1;x1]-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[A:1]	c1(ccccc1)COC(C)C	C(C)(O)C	c1(cccc(c1)COC(C)C)C,c1cc(ccc1)C(C)OC(C)C	benzyl, revealing an alcohol
101	hydroxyl_acyl	hydroxyl	[O;D2:1]-;!@[C;z2;x2](=O)-[C;D1]	[A:1]	CC(OC(C)=O)C	C(C)(O)C	O(C(=O)CC)C(C)C	acetyl, revealing an alcohol
102	hydroxyl_methyl	hydroxyl	[O;D2:1]-;!@[C;D1]	[A:1]	CC(OC)C	C(C)(O)C	C(C)OC(C)C	methyl, revealing an alcohol
103	hydroxyl_ethyl	hydroxyl	[O;D2:1]-;!@[C;D2;z1;x1]-[C;D1]	[A:1]	C(C)OC(C)C	C(C)(O)C		ethyl, revealing an alcohol
